Marital_Status,Education,Income,Kidhome,Teenhome,Recency,Complain,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Total_Spent,Age,Total_Purchases
Divorced,2n Cycle,49974.91,0,1,43,0,366.45,26.45,157.18,34.41,42.18,51.14,2,5,3,6,6,0,0,0,0,0,0,677.82,59,16
Divorced,Basic,9548.0,1,0,31,0,0.0,1.0,3.0,10.0,6.0,9.0,2,1,0,3,8,0,0,0,0,0,0,29.0,50,6
Divorced,Graduation,54526.04,0,1,53,0,300.58,33.02,162.98,37.58,33.18,49.07,2,4,3,6,5,0,0,0,0,0,0,616.41,59,15
Divorced,Master,50331.95,0,1,49,0,301.41,19.68,137.11,29.46,16.76,46.89,2,4,2,5,5,0,0,0,0,0,0,551.3,59,15
Divorced,PhD,53096.62,0,1,45,0,391.65,21.48,132.9,34.5,13.75,38.58,3,5,3,6,6,0,0,0,0,0,0,632.87,62,16
Married,2n Cycle,46264.95,0,0,48,0,154.78,27.47,122.65,41.6,29.62,47.67,2,4,2,5,5,0,0,0,0,0,0,423.79,53,13
Married,Basic,21960.5,1,0,46,0,15.2,15.45,17.0,27.95,20.5,26.75,2,2,0,3,7,0,0,0,0,0,0,122.85,48,8
Married,Graduation,50805.55,0,1,49,0,272.57,29.43,171.21,41.38,31.34,49.97,2,4,3,6,5,0,0,0,0,0,0,595.91,56,15
Married,Master,53286.03,0,1,45,0,327.72,20.01,135.49,25.62,20.73,37.09,3,4,2,6,5,0,0,0,0,0,0,566.67,59,15
Married,PhD,58067.56,0,1,50,0,430.54,21.84,186.04,27.02,19.94,30.45,3,4,3,6,5,0,0,0,0,0,0,715.83,59,16
Single,2n Cycle,53429.25,1,0,45,0,215.56,32.0,182.19,40.44,33.08,50.19,2,4,3,5,5,0,0,0,0,0,0,553.47,50,13
Single,Basic,18238.67,1,0,50,0,3.11,9.17,7.61,9.78,8.5,19.56,2,2,1,3,7,0,0,0,0,0,0,57.72,43,7
Single,Graduation,51365.81,0,0,51,0,263.06,32.89,187.71,45.65,29.44,51.78,2,4,3,6,5,0,0,0,0,0,0,610.53,54,15
Single,Master,53787.14,1,0,48,0,383.61,20.97,239.31,40.57,22.83,42.75,2,4,3,6,5,0,0,0,0,0,0,750.05,56,15
Single,PhD,53006.66,0,1,48,0,357.7,17.65,152.56,24.05,25.67,29.29,2,4,3,6,5,0,0,0,0,0,0,606.93,58,15
Together,2n Cycle,44852.84,1,0,51,0,188.42,28.68,136.65,61.82,36.7,41.72,3,4,2,5,5,0,0,0,0,0,0,494.0,52,14
Together,Basic,21240.07,1,0,50,0,2.0,8.71,8.14,10.14,5.57,21.86,1,1,0,2,7,0,0,0,0,0,0,56.43,55,6
Together,Graduation,53599.56,0,1,50,0,313.33,29.99,189.95,45.48,30.81,51.5,2,4,3,6,5,0,0,0,0,0,0,661.07,58,15
Together,Master,52081.24,0,1,50,0,303.0,23.52,146.44,30.81,20.26,36.81,3,4,3,6,5,0,0,0,0,0,0,560.85,61,15
Together,PhD,56001.52,0,1,50,0,391.15,16.16,170.26,23.19,17.52,31.29,2,4,3,6,5,0,0,0,0,0,0,649.56,60,15
Widow,2n Cycle,51392.2,0,1,60,0,221.8,55.6,184.2,103.6,67.8,44.2,2,4,3,7,5,0,0,0,0,0,0,677.2,67,17
Widow,Basic,22123.0,0,0,77,0,3.0,3.0,24.0,34.0,7.0,31.0,1,2,1,3,5,0,0,0,0,0,0,102.0,66,7
Widow,Graduation,54976.66,0,1,52,0,298.66,31.26,197.71,47.89,44.83,56.8,2,4,3,6,5,0,0,0,0,0,0,677.14,64,15
Widow,Master,57815.83,0,1,47,0,433.75,34.5,227.42,71.83,37.33,74.92,3,6,4,7,5,0,0,0,0,0,1,879.75,73,19
Widow,PhD,60288.08,0,1,43,0,486.0,31.62,165.88,36.12,26.71,51.33,2,5,4,7,5,0,0,0,0,0,0,797.67,71,18
