Marital_Status,Education,Income,Kidhome,Teenhome,Recency,Complain,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Total_Spent,Highest_Spent,Age,Total_Purchases
Divorced,2n Cycle,49974.91,1,0,43,0,366.45,26.45,157.18,34.41,42.18,51.14,53,106,55,136,138,0,3,3,1,2,5,677.82,Wines,59,15
Divorced,Basic,9548.0,1,0,31,0,0.0,1.0,3.0,10.0,6.0,9.0,2,1,0,3,8,0,0,0,0,0,0,29.0,Fish,50,6
Divorced,Graduation,54526.04,1,0,53,1,300.58,33.02,162.98,37.58,33.18,49.07,274,495,332,697,636,12,8,8,9,2,19,616.41,Wines,59,15
Divorced,Master,50331.95,1,0,49,0,301.41,19.68,137.11,29.46,16.76,46.89,92,159,91,203,200,0,2,0,1,0,6,551.3,Wines,59,14
Divorced,PhD,53096.62,1,0,45,0,391.65,21.48,132.9,34.5,13.75,38.58,143,237,141,309,286,8,5,2,1,1,18,632.87,Wines,62,15
Married,2n Cycle,46264.95,1,0,48,1,154.78,27.47,122.65,41.6,29.62,47.67,172,286,171,440,432,8,1,4,8,0,8,423.79,Wines,52,13
Married,Basic,21960.5,1,1,46,0,15.2,15.45,17.0,27.95,20.5,26.75,36,49,8,65,141,2,0,0,0,0,0,122.85,Wines,47,7
Married,Graduation,50805.55,1,0,49,6,272.57,29.43,171.21,41.38,31.34,49.97,1016,1783,1129,2544,2334,28,30,31,33,4,43,595.91,Wines,56,14
Married,Master,53286.03,1,0,45,1,327.72,20.01,135.49,25.62,20.73,37.09,350,551,344,815,721,13,11,10,9,0,15,566.67,Wines,59,14
Married,PhD,58067.56,1,0,50,0,430.54,21.84,186.04,27.02,19.94,30.45,493,863,616,1191,1007,12,21,21,13,3,32,715.83,Wines,59,16
Single,2n Cycle,53429.25,0,1,45,1,215.56,32.0,182.19,40.44,33.08,50.19,66,126,94,192,191,4,2,1,3,0,6,553.47,Wines,50,13
Single,Basic,18238.67,0,1,50,0,3.11,9.17,7.61,9.78,8.5,19.56,40,30,12,49,120,0,0,0,0,0,0,57.72,Sweet,43,7
Single,Graduation,51365.81,1,0,51,3,263.06,32.89,187.71,45.65,29.44,51.78,571,1011,698,1437,1340,23,17,16,14,3,53,610.53,Wines,53,14
Single,Master,53787.14,1,1,48,1,383.61,20.97,239.31,40.57,22.83,42.75,146,289,207,482,396,5,8,8,4,1,18,750.05,Wines,55,14
Single,PhD,53006.66,1,0,48,1,357.7,17.65,152.56,24.05,25.67,29.29,224,438,256,582,523,7,6,7,11,1,32,606.93,Wines,58,14
Together,2n Cycle,44852.84,0,1,51,1,188.42,28.68,136.65,61.82,36.7,41.72,153,216,134,309,312,3,4,2,1,0,3,494.0,Wines,52,14
Together,Basic,21240.07,0,1,50,0,2.0,8.71,8.14,10.14,5.57,21.86,18,20,5,34,97,4,0,0,0,0,2,56.43,Meat,55,5
Together,Graduation,53599.56,1,0,50,4,313.33,29.99,189.95,45.48,30.81,51.5,657,1217,800,1683,1475,12,22,29,24,7,31,661.07,Wines,58,15
Together,Master,52081.24,1,0,50,0,303.0,23.52,146.44,30.81,20.26,36.81,278,427,266,600,540,6,7,7,2,1,12,560.85,Wines,61,14
Together,PhD,56001.52,0,0,50,0,391.15,16.16,170.26,23.19,17.52,31.29,238,484,346,698,621,12,10,6,5,4,12,649.56,Wines,61,15
Widow,2n Cycle,51392.2,1,0,60,0,221.8,55.6,184.2,103.6,67.8,44.2,10,20,16,37,25,0,0,0,1,0,0,677.2,Wines,67,16
Widow,Basic,22123.0,0,0,77,0,3.0,3.0,24.0,34.0,7.0,31.0,1,2,1,3,5,0,0,0,0,0,0,102.0,Fish,66,7
Widow,Graduation,54976.66,1,0,52,0,298.66,31.26,197.71,47.89,44.83,56.8,81,140,112,206,168,3,4,2,2,0,6,677.14,Wines,64,15
Widow,Master,57815.83,0,0,47,0,433.75,34.5,227.42,71.83,37.33,74.92,32,66,43,82,59,0,3,3,2,0,6,879.75,Wines,74,18
Widow,PhD,60288.08,1,0,43,0,486.0,31.62,165.88,36.12,26.71,51.33,56,128,84,166,119,1,3,3,0,1,7,797.67,Wines,71,18
