Marital_Status,Education,Income,Kidhome,Teenhome,Recency,Complain,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Total_Spent,Age,Total_Purchases
Divorced,2n Cycle,22708.81,0,1,27,0,382.48,30.49,204.75,42.68,55.78,51.68,2,4,3,3,2,0,0,0,0,0,0,610.42,9,9
Divorced,Basic,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0
Divorced,Graduation,22947.36,1,1,29,0,330.06,46.73,187.64,55.57,47.67,58.15,2,3,3,4,3,0,0,0,0,0,0,585.61,10,8
Divorced,Master,17875.12,1,1,27,0,328.07,29.46,193.32,55.18,21.62,52.66,2,2,3,3,2,0,0,0,0,0,0,571.92,10,7
Divorced,PhD,18176.66,0,1,30,0,382.61,33.08,178.29,48.06,19.68,49.82,2,3,3,3,2,0,0,0,0,0,0,575.9,10,8
Married,2n Cycle,22711.17,1,1,32,0,224.93,38.31,184.91,52.62,46.03,56.58,1,2,3,3,2,0,0,0,0,0,0,481.05,11,7
Married,Basic,6566.76,1,0,31,0,50.23,26.51,29.71,51.2,30.2,35.86,1,2,1,1,1,0,0,0,0,0,0,194.54,11,5
Married,Graduation,20690.74,1,1,29,0,297.87,42.75,225.56,57.1,44.8,56.53,2,3,3,3,2,0,0,0,0,0,0,577.04,11,8
Married,Master,18679.18,1,1,30,0,347.38,37.1,197.63,45.01,37.89,45.4,2,3,3,3,2,0,0,0,0,0,0,588.65,11,8
Married,PhD,21760.39,1,1,29,0,413.09,32.76,262.55,42.0,31.13,40.97,3,3,4,3,3,0,0,0,0,0,0,650.39,11,8
Single,2n Cycle,21169.22,1,0,28,0,266.34,38.27,258.78,54.82,45.97,57.91,2,3,3,3,2,0,0,0,0,0,0,621.67,12,8
Single,Basic,5613.11,0,0,24,0,3.07,9.88,5.41,6.6,6.05,13.85,1,1,1,1,2,0,0,0,0,0,0,31.58,9,3
Single,Graduation,21890.59,1,1,28,0,287.89,46.81,237.38,61.62,41.7,56.47,2,3,3,3,3,0,0,0,0,0,0,592.45,12,7
Single,Master,22806.93,1,1,31,0,403.59,29.04,295.99,55.89,38.01,50.19,1,2,3,4,3,0,0,0,0,0,0,757.7,11,7
Single,PhD,19039.01,1,1,31,0,380.69,30.93,209.49,39.82,45.84,42.68,2,4,3,3,2,0,0,0,0,0,0,609.74,12,7
Together,2n Cycle,21622.44,1,0,30,0,236.11,41.32,244.91,79.11,51.46,47.66,3,3,3,3,2,0,0,0,0,0,0,536.05,10,9
Together,Basic,5834.64,1,0,25,0,1.66,8.7,4.15,9.27,6.36,16.2,1,1,0,1,1,0,0,0,0,0,0,30.89,11,2
Together,Graduation,21186.71,1,1,29,0,333.37,42.73,245.9,60.54,43.33,57.12,2,3,3,3,2,0,0,0,0,0,0,645.7,11,8
Together,Master,20853.5,0,1,29,0,330.01,36.78,182.94,46.67,29.07,40.27,2,2,3,3,2,0,0,0,0,0,0,560.96,11,7
Together,PhD,21174.77,1,1,27,0,367.36,27.61,205.67,36.67,30.17,43.0,2,3,3,3,3,0,0,0,0,0,0,596.12,12,8
Widow,2n Cycle,17120.7,0,1,34,0,235.67,58.65,244.27,101.68,59.81,31.16,1,2,2,4,2,0,0,0,0,0,0,636.28,10,9
Widow,Basic,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0
Widow,Graduation,16901.87,0,0,28,0,282.86,44.48,238.76,54.94,55.17,55.64,2,2,3,3,2,0,0,0,0,0,0,594.4,9,7
Widow,Master,15769.15,0,1,33,0,380.35,41.19,248.35,86.24,48.17,62.57,1,3,3,3,2,0,0,0,0,0,1,636.42,8,5
Widow,PhD,16030.9,0,0,26,0,369.84,54.9,167.63,48.69,43.19,51.81,2,3,3,3,3,0,0,0,0,0,0,539.1,8,7
